url,RMD,GTG,GTS,IJM,MTD,GT2
Compress/commit/46,14.00,8.00,7.00,10.00,49.00,12.00
Compress/commit/47,53.00,57.00,14.00,22.00,201.00,33.00
Compress/commit/5,13.00,118.00,12.00,9.00,25.00,10.00
Compress/commit/6,13.00,7.00,5.00,7.00,30.00,10.00
Compress/commit/7,7.00,635.00,3.00,5.00,14.00,6.00
Compress/commit/9,8.00,450.00,3.00,6.00,16.00,6.00
Csv/commit/1,3.00,133.00,1.00,3.00,4.00,3.00
Csv/commit/10,11.00,9.00,4.00,8.00,28.00,9.00
Csv/commit/11,11.00,91.00,5.00,8.00,36.00,11.00
Csv/commit/12,25.00,19.00,9.00,15.00,115.00,19.00
Csv/commit/13,48.00,30.00,16.00,23.00,206.00,33.00
Csv/commit/14,52.00,159.00,17.00,24.00,385.00,37.00
Csv/commit/15,83.00,158.00,37.00,32.00,496.00,59.00
Csv/commit/16,16.00,20.00,9.00,14.00,54.00,16.00
Csv/commit/2,3.00,148.00,2.00,3.00,5.00,3.00
Csv/commit/3,5.00,225.00,2.00,4.00,8.00,7.00
Csv/commit/4,10.00,6.00,5.00,7.00,29.00,10.00
Csv/commit/5,13.00,5.00,4.00,8.00,29.00,10.00
Csv/commit/6,4.00,303.00,2.00,4.00,8.00,4.00
Csv/commit/7,10.00,32.00,4.00,9.00,31.00,10.00
Csv/commit/8,25.00,57.00,8.00,13.00,90.00,18.00
Csv/commit/9,4.00,287.00,2.00,3.00,8.00,4.00
Gson/commit/1,6.00,827.00,3.00,5.00,13.00,6.00
Gson/commit/10,20.00,108.00,5.00,8.00,26.00,17.00
Gson/commit/11,64.00,29.00,15.00,26.00,284.00,41.00
Gson/commit/12,11.00,5.00,4.00,8.00,28.00,8.00
Gson/commit/13,82.00,183.00,17.00,31.00,346.00,43.00
Gson/commit/14,36.00,16.00,11.00,16.00,111.00,24.00
Gson/commit/15,20.00,12.00,8.00,14.00,57.00,17.00
Gson/commit/16,29.00,719.00,9.00,14.00,107.00,18.00
Gson/commit/17,4.00,263.00,2.00,4.00,6.00,5.00
Gson/commit/18,27.00,11.00,9.00,13.00,101.00,17.00
Gson/commit/2,57.00,45.00,12.00,19.00,221.00,33.00
Gson/commit/3,9.00,1175.00,4.00,6.00,15.00,10.00
Gson/commit/4,78.00,234.00,25.00,40.00,393.00,43.00
Gson/commit/5,17.00,987.00,7.00,12.00,45.00,11.00
Gson/commit/6,3.00,108.00,1.00,2.00,4.00,2.00
Gson/commit/7,69.00,153.00,19.00,29.00,363.00,32.00
Gson/commit/8,23.00,279.00,3.00,4.00,7.00,3.00
Gson/commit/9,80.00,456.00,23.00,34.00,333.00,57.00
JacksonCore/commit/1,29.00,14.00,9.00,18.00,72.00,19.00
JacksonCore/commit/10,45.00,27.00,14.00,24.00,231.00,25.00
JacksonCore/commit/11,43.00,13.00,13.00,23.00,231.00,24.00
JacksonCore/commit/12,330.00,304.00,67.00,121.00,2859.00,121.00
JacksonCore/commit/13,3.00,150.00,2.00,3.00,4.00,4.00
JacksonCore/commit/14,6.00,462.00,2.00,5.00,10.00,5.00
JacksonCore/commit/15,33.00,426.00,10.00,17.00,100.00,15.00
JacksonCore/commit/17,100.00,42.00,22.00,44.00,623.00,45.00
JacksonCore/commit/18,178.00,43.00,45.00,85.00,1148.00,87.00
JacksonCore/commit/19,358.00,456.00,68.00,124.00,2724.00,128.00
JacksonCore/commit/2,228.00,763.00,54.00,99.00,1744.00,136.00
JacksonCore/commit/20,35.00,13.00,14.00,17.00,249.00,27.00
JacksonCore/commit/21,34.00,453.00,8.00,19.00,103.00,16.00
JacksonCore/commit/22,43.00,2116.00,27.00,28.00,312.00,25.00
JacksonCore/commit/23,8.00,4.00,3.00,7.00,19.00,7.00
JacksonCore/commit/25,127.00,62.00,29.00,55.00,944.00,51.00
JacksonCore/commit/26,134.00,33.00,29.00,56.00,1065.00,54.00
JacksonCore/commit/3,159.00,34.00,32.00,93.00,1396.00,62.00
JacksonCore/commit/4,17.00,8.00,6.00,11.00,52.00,12.00
JacksonCore/commit/5,7.00,522.00,3.00,4.00,12.00,4.00
JacksonCore/commit/6,7.00,537.00,3.00,5.00,12.00,5.00
JacksonCore/commit/7,5.00,343.00,2.00,4.00,9.00,4.00
JacksonCore/commit/8,16.00,7.00,6.00,11.00,55.00,12.00
JacksonCore/commit/9,296.00,70.00,68.00,122.00,2379.00,123.00
JacksonDatabind/commit/1,16.00,39.00,6.00,10.00,56.00,17.00
JacksonDatabind/commit/10,28.00,336.00,10.00,16.00,102.00,27.00
JacksonDatabind/commit/100,11.00,3.00,3.00,6.00,19.00,8.00
JacksonDatabind/commit/101,47.00,378.00,11.00,20.00,175.00,22.00
JacksonDatabind/commit/102,14.00,733.00,4.00,6.00,13.00,9.00
JacksonDatabind/commit/103,565.00,1775.00,215.00,295.00,2804.00,395.00
JacksonDatabind/commit/104,24.00,52.00,8.00,15.00,102.00,16.00
JacksonDatabind/commit/105,3.00,47.00,1.00,2.00,2.00,2.00
JacksonDatabind/commit/106,8.00,4.00,4.00,6.00,18.00,7.00
JacksonDatabind/commit/107,7.00,876.00,3.00,5.00,13.00,9.00
JacksonDatabind/commit/108,64.00,25.00,19.00,29.00,470.00,43.00
JacksonDatabind/commit/109,10.00,976.00,5.00,8.00,22.00,18.00
JacksonDatabind/commit/11,38.00,16.00,12.00,18.00,187.00,23.00
JacksonDatabind/commit/110,6.00,721.00,2.00,5.00,13.00,6.00
JacksonDatabind/commit/111,27.00,2405.00,14.00,24.00,52.00,41.00
JacksonDatabind/commit/112,8.00,58.00,3.00,6.00,17.00,9.00
JacksonDatabind/commit/12,34.00,10.00,8.00,12.00,95.00,24.00
JacksonDatabind/commit/13,15.00,188.00,7.00,10.00,27.00,16.00
JacksonDatabind/commit/14,57.00,50.00,35.00,36.00,412.00,39.00
JacksonDatabind/commit/15,74.00,1629.00,27.00,44.00,265.00,82.00
JacksonDatabind/commit/16,3.00,117.00,2.00,2.00,4.00,3.00
JacksonDatabind/commit/17,138.00,73.00,34.00,46.00,1128.00,75.00
JacksonDatabind/commit/19,47.00,17.00,13.00,20.00,227.00,27.00
JacksonDatabind/commit/2,68.00,16.00,16.00,26.00,369.00,34.00
JacksonDatabind/commit/20,20.00,9.00,7.00,21.00,82.00,18.00
JacksonDatabind/commit/21,38.00,13.00,12.00,21.00,176.00,29.00
JacksonDatabind/commit/22,188.00,540.00,23.00,39.00,323.00,58.00
JacksonDatabind/commit/23,8.00,999.00,6.00,11.00,31.00,13.00
JacksonDatabind/commit/24,9.00,1413.00,3.00,6.00,16.00,11.00
JacksonDatabind/commit/25,135.00,1292.00,61.00,70.00,847.00,75.00
JacksonDatabind/commit/26,28.00,8.00,9.00,13.00,97.00,26.00
JacksonDatabind/commit/27,33.00,273.00,9.00,16.00,134.00,18.00
JacksonDatabind/commit/29,12.00,25.00,4.00,8.00,34.00,10.00
JacksonDatabind/commit/3,5.00,471.00,3.00,5.00,12.00,6.00
JacksonDatabind/commit/30,233.00,181.00,51.00,74.00,2125.00,120.00
JacksonDatabind/commit/31,101.00,33.00,22.00,30.00,411.00,62.00
JacksonDatabind/commit/32,25.00,411.00,9.00,16.00,104.00,23.00
JacksonDatabind/commit/33,41.00,28.00,12.00,22.00,196.00,29.00
JacksonDatabind/commit/34,2.00,105.00,2.00,2.00,3.00,4.00
JacksonDatabind/commit/35,4.00,239.00,2.00,3.00,5.00,5.00
JacksonDatabind/commit/36,17.00,11.00,5.00,11.00,45.00,11.00
JacksonDatabind/commit/37,6.00,643.00,3.00,6.00,12.00,6.00
JacksonDatabind/commit/38,18.00,1402.00,7.00,13.00,28.00,13.00
JacksonDatabind/commit/39,1.00,16.00,1.00,1.00,2.00,1.00
JacksonDatabind/commit/4,5.00,493.00,3.00,5.00,12.00,5.00
JacksonDatabind/commit/40,20.00,15.00,6.00,10.00,63.00,13.00
JacksonDatabind/commit/42,11.00,123.00,4.00,9.00,25.00,11.00
JacksonDatabind/commit/43,2.00,138.00,2.00,3.00,4.00,4.00
JacksonDatabind/commit/44,7.00,946.00,3.00,6.00,17.00,7.00
JacksonDatabind/commit/45,5.00,334.00,3.00,4.00,7.00,6.00
JacksonDatabind/commit/46,6.00,308.00,2.00,3.00,9.00,4.00
JacksonDatabind/commit/47,35.00,327.00,10.00,14.00,135.00,34.00
