url,srcFileName,ignoredMappings,ignoredElements,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN
https://github.com/brettwooldridge/HikariCP/commit/cd8c4d578a609bdd6395d3a8c49bfd19ed700dea,src.main.json.com.zaxxer.hikari.util.ClockSource.json,27,8,29,2,0,0,9,1,0,0,29,2,0,0,9,1,0,0,29,2,0,0,9,1,0,0
https://github.com/robovm/robovm/commit/7837d0baf1aef45340eec699516a8c3a22aeb553,compiler.src.main.json.org.robovm.compiler.target.ios.IOSTarget.json,803,59,862,59,0,0,62,3,0,0,855,52,4,7,61,2,1,1,856,53,4,6,61,2,1,1
https://github.com/spring-projects/spring-security/commit/fcc9a34356817d93c24b5ccf3107ec234a28b136,web.src.main.json.org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper.json,49,8,70,21,0,0,12,4,0,0,70,21,9,0,12,4,1,0,70,21,8,0,12,4,1,0
https://github.com/spring-projects/spring-security/commit/08b1b56e2cd5ad72126f4bbeb15a47d9b104dfff,web.src.main.json.org.springframework.security.web.context.SaveContextOnUpdateOrErrorResponseWrapper.json,62,10,70,8,0,0,12,2,0,0,70,8,9,0,12,2,1,0,70,8,8,0,12,2,1,0
https://github.com/apache/cassandra/commit/4fcd7d4d366d001cf5f1f7d926c608c902e3f0af,test.unit.org.apache.cassandra.locator.DynamicEndpointSnitchTest.json,49,2,51,2,0,0,3,1,0,0,51,2,0,0,3,1,0,0,51,2,0,0,3,1,0,0
https://github.com/opentripplanner/OpenTripPlanner/commit/334dbc7cf3432e7c17b0ed98801e61b0b591b408,src.main.json.org.opentripplanner.analyst.cluster.AnalystWorker.json,235,25,279,44,0,0,28,3,0,0,277,42,0,2,28,3,0,0,279,44,0,0,28,3,0,0
https://github.com/wordpress-mobile/WordPress-Android/commit/3b95d10985776fb7b710089ff71074fd2bf860ee,WordPress.src.main.json.org.wordpress.android.ui.main.SitePickerAdapter.json,328,68,381,53,0,0,73,5,0,0,380,52,2,1,73,5,0,0,379,51,0,2,73,5,0,0
https://github.com/spring-projects/spring-boot/commit/cb98ee25ff52bf97faebe3f45cdef0ced9b4416e,spring-boot-autoconfigure.src.test.json.org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests.json,141,24,461,320,0,0,44,20,0,0,292,151,39,169,40,16,0,4,313,172,10,148,44,20,0,0
https://github.com/netty/netty/commit/303cb535239a6f07cbe24a033ef965e2f55758eb,handler.src.main.json.io.netty.handler.ssl.OpenSslEngine.json,1289,126,1325,36,0,0,130,4,0,0,1317,28,7,8,130,4,0,0,1323,34,6,2,130,4,0,0
https://github.com/real-logic/Aeron/commit/35893c115ba23bd62a7036a33390420f074ce660,aeron-driver.src.test.json.uk.co.real_logic.aeron.driver.DriverConductorTest.json,149,44,334,185,0,0,56,12,0,0,299,150,42,35,55,11,1,1,303,154,15,31,56,12,0,0
