url,srcFileName,ignoredMappings,ignoredElements,RMD_TP_raw_abstractMapping,RMD_TP_abstractMapping,RMD_FP_abstractMapping,RMD_FN_abstractMapping,RMD_TP_raw_programElement,RMD_TP_programElement,RMD_FP_programElement,RMD_FN_programElement,GTG_TP_raw_abstractMapping,GTG_TP_abstractMapping,GTG_FP_abstractMapping,GTG_FN_abstractMapping,GTG_TP_raw_programElement,GTG_TP_programElement,GTG_FP_programElement,GTG_FN_programElement,GTS_TP_raw_abstractMapping,GTS_TP_abstractMapping,GTS_FP_abstractMapping,GTS_FN_abstractMapping,GTS_TP_raw_programElement,GTS_TP_programElement,GTS_FP_programElement,GTS_FN_programElement,IJM_TP_raw_abstractMapping,IJM_TP_abstractMapping,IJM_FP_abstractMapping,IJM_FN_abstractMapping,IJM_TP_raw_programElement,IJM_TP_programElement,IJM_FP_programElement,IJM_FN_programElement,MTD_TP_raw_abstractMapping,MTD_TP_abstractMapping,MTD_FP_abstractMapping,MTD_FN_abstractMapping,MTD_TP_raw_programElement,MTD_TP_programElement,MTD_FP_programElement,MTD_FN_programElement,GT2_TP_raw_abstractMapping,GT2_TP_abstractMapping,GT2_FP_abstractMapping,GT2_FN_abstractMapping,GT2_TP_raw_programElement,GT2_TP_programElement,GT2_FP_programElement,GT2_FN_programElement
https://github.com/BroadleafCommerce/BroadleafCommerce/commit/4ef35268bb96bb78b2dc698fa68e7ce763cde32e,admin.broadleaf-open-admin-platform.src.main.java.org.broadleafcommerce.openadmin.dto.FieldMetadata,131,56,157,26,0,1,61,5,0,0,153,22,0,5,58,2,0,3,153,22,0,5,58,2,0,3,153,22,0,5,58,2,0,3,153,22,0,5,58,2,0,3,153,22,0,5,58,2,0,3
https://github.com/BroadleafCommerce/BroadleafCommerce/commit/9687048f76519fc89b4151cbe2841bbba61a401d,admin.broadleaf-open-admin-platform.src.main.java.org.broadleafcommerce.openadmin.web.controller.AdminAbstractController,226,40,249,23,0,0,42,2,0,0,246,20,3,3,41,1,1,1,246,20,3,3,41,1,1,1,246,20,1,3,42,2,0,0,238,12,3,11,41,1,1,1,244,18,5,5,41,1,1,1
https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector/commit/e235f884f2e0bc258da77b9c80492ad33386fa86,app.src.main.java.com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter,453,59,474,21,0,0,62,3,0,0,473,20,0,1,61,2,0,1,473,20,1,1,61,2,1,1,474,21,0,0,62,3,0,0,473,20,1,1,61,2,1,1,474,21,0,0,62,3,0,0
https://github.com/CyanogenMod/android_frameworks_base/commit/15fd4f9caea01e53725086e290d3b35ec4bd4cd9,packages.Keyguard.src.com.android.keyguard.KeyguardAbsKeyInputView,77,35,85,8,0,0,37,2,0,0,83,6,2,2,36,1,1,1,83,6,2,2,36,1,1,1,84,7,1,1,37,2,0,0,84,7,1,1,36,1,1,1,84,7,1,1,36,1,1,1
https://github.com/CyanogenMod/android_frameworks_base/commit/15fd4f9caea01e53725086e290d3b35ec4bd4cd9,packages.Keyguard.src.com.android.keyguard.KeyguardSimPinView,195,44,203,8,0,0,46,2,0,0,203,8,0,0,46,2,0,0,202,7,0,1,46,2,0,0,203,8,0,0,46,2,0,0,203,8,0,0,46,2,0,0,203,8,0,0,46,2,0,0
https://github.com/CyanogenMod/android_frameworks_base/commit/4587c32ab8a1c8e2169e4f93491a8c927216a6ab,packages.SystemUI.src.com.android.systemui.usb.StorageNotification,197,19,208,11,0,0,21,2,0,0,207,10,1,1,20,1,1,1,207,10,1,1,20,1,1,1,207,10,1,1,21,2,0,0,207,10,1,1,20,1,1,1,207,10,1,1,20,1,1,1
https://github.com/CyanogenMod/android_frameworks_base/commit/658a918eebcbdeb4f920c2947ca8d0e79ad86d89,packages.SystemUI.src.com.android.systemui.statusbar.phone.PhoneStatusBar,2730,553,2994,264,0,0,559,6,0,0,2994,264,0,0,559,6,0,0,2994,264,0,0,559,6,0,0,2989,259,0,5,559,6,0,0,2989,259,1,5,559,6,0,0,2994,264,1,0,559,6,0,0
https://github.com/CyanogenMod/android_frameworks_base/commit/76331570e68446c17e4ff5287f5b7b2b6b472895,packages.Keyguard.src.com.android.keyguard.KeyguardUpdateMonitor,844,178,848,4,0,0,180,2,0,0,847,3,1,1,179,1,1,1,847,3,1,1,179,1,1,1,848,4,0,0,180,2,0,0,847,3,1,1,179,1,1,1,847,3,1,1,179,1,1,1
https://github.com/CyanogenMod/android_frameworks_base/commit/76331570e68446c17e4ff5287f5b7b2b6b472895,packages.SystemUI.src.com.android.systemui.keyguard.KeyguardViewMediator,857,171,882,25,0,0,173,2,0,0,882,25,0,0,173,2,0,0,880,23,0,2,173,2,0,0,882,25,0,0,173,2,0,0,882,25,0,0,173,2,0,0,882,25,0,0,173,2,0,0
https://github.com/CyanogenMod/android_frameworks_base/commit/96a2c3410f3c71d3ab20857036422f1d64c3a6d3,services.core.java.com.android.server.power.PowerManagerService,1974,348,2001,27,0,0,353,5,0,0,2000,26,1,1,352,4,1,1,2000,26,1,1,352,4,1,1,2000,26,1,1,353,5,0,0,2000,26,1,1,352,4,1,1,2000,26,1,1,352,4,1,1
https://github.com/CyanogenMod/android_frameworks_base/commit/f166866cd68efa963534c5bc7fc9ca38e4aa2838,core.java.android.text.format.DateFormat,256,41,284,28,0,0,43,2,0,0,281,25,1,3,42,1,1,1,284,28,0,0,43,2,0,0,283,27,0,1,43,2,0,0,281,25,1,3,42,1,1,1,281,25,1,3,42,1,1,1
